latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
60.750509894444455,-135.22211566388887,1427.4235,0.00000,2,2021,-51093.218
60.75050991388889,-135.22211560833333,1427.4324,0.00833,2,2021,-51093.496
60.75050989722223,-135.22211562500001,1427.4316,0.01667,2,2021,-51093.811
60.75050989166667,-135.22211564722224,1427.4281,0.02500,2,2021,-51094.218
60.75050990555555,-135.22211562777778,1427.4328,0.03333,2,2021,-51094.691
60.75050989999999,-135.2221156138889,1427.431,0.04167,2,2021,-51095.191
60.75050990555555,-135.22211566944443,1427.4305,0.05000,2,2021,-51095.713
60.75050988888889,-135.22211562777778,1427.4301,0.05833,2,2021,-51096.233
60.75050992222221,-135.22211562777778,1427.435,0.06667,2,2021,-51096.697
60.750509908333335,-135.22211562500001,1427.4325,0.07500,2,2021,-51097.286
60.75050992499999,-135.22211562777778,1427.4333,0.08333,2,2021,-51097.938
60.75050993055555,-135.22211561666666,1427.4292,0.09167,2,2021,-51098.587
60.75050991111111,-135.22211560555556,1427.4284,0.10000,2,2021,-51099.235
60.750509952777776,-135.22211562222222,1427.4392,0.10833,2,2021,-51099.758
60.75050992222221,-135.22211562222222,1427.439,0.11667,2,2021,-51100.270
60.75050993888889,-135.2221156138889,1427.4318,0.12500,2,2021,-51100.764
60.750509902777765,-135.2221155861111,1427.4305,0.13333,2,2021,-51101.279
60.750509902777765,-135.2221155861111,1427.432,0.14167,2,2021,-51101.858
60.750509880555555,-135.2221156138889,1427.4269,0.15000,2,2021,-51102.501
60.750509894444455,-135.22211559722223,1427.4305,0.15833,2,2021,-51102.985
60.75050988888889,-135.22211555,1427.432,0.16667,2,2021,-51103.561
60.750509902777765,-135.2221155861111,1427.433,0.17500,2,2021,-51104.148
60.75050989722223,-135.22211559722223,1427.4285,0.18333,2,2021,-51104.871
60.75050988611111,-135.22211560833333,1427.4238,0.19167,2,2021,-51105.492
60.75050989722223,-135.22211563333335,1427.4298,0.20000,2,2021,-51105.970
60.75050993333334,-135.22211559722223,1427.4347,0.20833,2,2021,-51106.361
60.75050990555555,-135.22211563333335,1427.4313,0.21667,2,2021,-51106.833
60.75050989999999,-135.22211560833333,1427.4326,0.22500,2,2021,-51107.286
60.75050993333334,-135.22211563055555,1427.4363,0.23333,2,2021,-51107.802
60.75050992499999,-135.22211566388887,1427.4333,0.24167,2,2021,-51108.450
60.750509894444455,-135.222115675,1427.4223,0.25000,2,2021,-51108.964
60.75050993611111,-135.22211564444444,1427.4351,0.25833,2,2021,-51109.460
60.75050989166667,-135.22211568333333,1427.4216,0.26667,2,2021,-51110.043
60.75050992777777,-135.22211564166668,1427.4278,0.27500,2,2021,-51110.444
60.75050987500001,-135.2221156888889,1427.4171,0.28333,2,2021,-51110.800
60.750509894444455,-135.2221156583333,1427.4235,0.29167,2,2021,-51111.082
60.75050990555555,-135.22211565555557,1427.4286,0.30000,2,2021,-51111.429
60.75050988611111,-135.2221156611111,1427.4222,0.30833,2,2021,-51111.843
60.750509894444455,-135.22211563888888,1427.4232,0.31667,2,2021,-51112.243
60.75050991944445,-135.22211564166668,1427.4287,0.32500,2,2021,-51112.599
60.75050991111111,-135.2221156138889,1427.426,0.33333,2,2021,-51112.946
60.75050992222221,-135.22211560833333,1427.4312,0.34167,2,2021,-51113.175
60.75050989722223,-135.22211563888888,1427.4298,0.35000,2,2021,-51113.420
60.750509908333335,-135.2221156361111,1427.4253,0.35833,2,2021,-51113.782
60.75050992777777,-135.2221155527778,1427.4353,0.36667,2,2021,-51114.069
60.75050991388889,-135.222115575,1427.4314,0.37500,2,2021,-51114.422
60.750509894444455,-135.22211561944445,1427.4282,0.38333,2,2021,-51114.592
60.75050989166667,-135.2221155611111,1427.4262,0.39167,2,2021,-51114.702
60.75050987777777,-135.2221155611111,1427.4304,0.40000,2,2021,-51114.766
60.75050988888889,-135.2221155527778,1427.4345,0.40833,2,2021,-51114.882
60.75050990555555,-135.22211558055557,1427.4335,0.41667,2,2021,-51114.959
60.75050990555555,-135.2221155944445,1427.432,0.42500,2,2021,-51115.025
60.750509908333335,-135.22211564166668,1427.4299,0.43333,2,2021,-51115.170
60.75050991944445,-135.2221156527778,1427.43,0.44167,2,2021,-51115.498
60.75050992499999,-135.22211564722224,1427.428,0.45000,2,2021,-51115.814
60.750509883333336,-135.22211566944443,1427.415,0.45833,2,2021,-51116.116
60.750509908333335,-135.22211569722222,1427.4193,0.46667,2,2021,-51116.269
60.75050988888889,-135.22211570555555,1427.4162,0.47500,2,2021,-51116.504
60.75050989166667,-135.2221156527778,1427.4197,0.48333,2,2021,-51116.663
60.75050985833333,-135.22211571944445,1427.4117,0.49167,2,2021,-51116.788
