latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
60.75051382222223,-135.2221164,1427.6938,0.00000,3,2021,-51828.738
60.75051084166667,-135.2221193611111,1427.1952,0.00833,3,2021,-51828.812
60.75051105,-135.2221186666667,1427.0828,0.01667,3,2021,-51828.976
60.75051053888889,-135.22211870833334,1427.2308,0.02500,3,2021,-51828.953
60.750510675,-135.22211692222223,1427.1845,0.03333,3,2021,-51828.893
60.750510152777785,-135.22211648333334,1427.2974,0.04167,3,2021,-51829.000
60.750510222222225,-135.22211639444447,1427.3037,0.05000,3,2021,-51829.033
60.750509955555565,-135.22211675277777,1427.3219,0.05833,3,2021,-51829.305
60.75051013055556,-135.222117225,1427.3249,0.06667,3,2021,-51829.598
60.750510086111106,-135.222116925,1427.3454,0.07500,3,2021,-51829.817
60.75051004722222,-135.222116425,1427.3226,0.08333,3,2021,-51830.129
60.7505100111111,-135.22211615,1427.3302,0.09167,3,2021,-51830.514
60.75050998055556,-135.2221161138889,1427.3431,0.10000,3,2021,-51830.898
60.750509941666664,-135.22211604722222,1427.3581,0.10833,3,2021,-51831.153
60.750509908333335,-135.22211579444445,1427.3566,0.11667,3,2021,-51831.343
60.75050989166667,-135.22211572777775,1427.3575,0.12500,3,2021,-51831.657
60.75050986944445,-135.22211569722222,1427.3693,0.13333,3,2021,-51832.003
60.75050982500001,-135.22211546388888,1427.3894,0.14167,3,2021,-51832.396
60.75050979722222,-135.22211524722223,1427.4026,0.15000,3,2021,-51832.821
60.750509786111095,-135.2221152361111,1427.409,0.15833,3,2021,-51833.312
60.75050981944444,-135.22211535,1427.417,0.16667,3,2021,-51833.773
60.75050984722223,-135.2221152777778,1427.4222,0.17500,3,2021,-51834.219
60.75050984722223,-135.22211522777778,1427.4254,0.18333,3,2021,-51834.751
60.750509855555556,-135.22211523333334,1427.4254,0.19167,3,2021,-51835.266
60.75050987500001,-135.2221152361111,1427.4227,0.20000,3,2021,-51835.728
60.750509883333336,-135.22211519722222,1427.4245,0.20833,3,2021,-51836.120
60.750509883333336,-135.22211521944442,1427.4283,0.21667,3,2021,-51836.441
60.75050988888889,-135.22211518055556,1427.4282,0.22500,3,2021,-51836.714
60.75050989722223,-135.2221151472222,1427.4268,0.23333,3,2021,-51837.197
60.750509908333335,-135.2221150611111,1427.4269,0.24167,3,2021,-51837.746
60.75050989999999,-135.22211506388888,1427.4296,0.25000,3,2021,-51838.268
60.750509916666665,-135.22211503055556,1427.4302,0.25833,3,2021,-51838.714
60.75050993333334,-135.2221150277778,1427.4287,0.26667,3,2021,-51839.270
60.750509952777776,-135.22211506666667,1427.4264,0.27500,3,2021,-51839.840
60.750509963888895,-135.22211505555555,1427.4262,0.28333,3,2021,-51840.474
60.750509963888895,-135.22211501944446,1427.4285,0.29167,3,2021,-51841.052
60.750509969444444,-135.2221150138889,1427.4268,0.30000,3,2021,-51841.508
60.75050996666667,-135.22211492222223,1427.4271,0.30833,3,2021,-51841.964
60.75050997777778,-135.22211491666667,1427.4274,0.31667,3,2021,-51842.433
60.75050999166667,-135.22211491666667,1427.4282,0.32500,3,2021,-51842.760
60.75050999722222,-135.22211488333332,1427.4278,0.33333,3,2021,-51842.944
60.75051000277778,-135.2221148666667,1427.4269,0.34167,3,2021,-51843.153
60.75051000555556,-135.22211487777776,1427.4252,0.35000,3,2021,-51843.280
60.75050999722222,-135.22211486111112,1427.4276,0.35833,3,2021,-51843.525
60.750509988888886,-135.22211488055555,1427.4293,0.36667,3,2021,-51843.846
60.750509983333345,-135.2221149111111,1427.431,0.37500,3,2021,-51844.002
60.750509972222225,-135.2221149138889,1427.4332,0.38333,3,2021,-51844.236
60.75050996111113,-135.22211495,1427.4354,0.39167,3,2021,-51844.514
60.750509955555565,-135.22211498055555,1427.4383,0.40000,3,2021,-51844.832
60.750509944444445,-135.2221150138889,1427.4411,0.40833,3,2021,-51845.037
60.75050993611111,-135.2221150472222,1427.4429,0.41667,3,2021,-51845.241
60.75050993333334,-135.22211507777777,1427.4443,0.42500,3,2021,-51845.476
60.75050993055555,-135.22211510555556,1427.4448,0.43333,3,2021,-51845.907
60.75050992499999,-135.22211514444444,1427.4458,0.44167,3,2021,-51846.083
60.750509916666665,-135.2221151888889,1427.4469,0.45000,3,2021,-51846.272
60.75050991388889,-135.22211521388886,1427.4471,0.45833,3,2021,-51846.366
60.75050991388889,-135.22211525,1427.4477,0.46667,3,2021,-51846.435
60.750509908333335,-135.2221152777778,1427.4486,0.47500,3,2021,-51846.682
60.750509908333335,-135.22211529444442,1427.4491,0.48333,3,2021,-51846.807
60.750509902777765,-135.22211530277778,1427.4485,0.49167,3,2021,-51846.865
60.750509902777765,-135.22211556388888,1427.4352,0.49167,3,2021,0.000
60.750509902777765,-135.22211556388888,1427.4352,0.49167,3,2021,0.000
