latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
13.02116560277778,77.57037214166665,844.1017,0.00000,2,2021,-63.900
13.021170275000003,77.5703798861111,843.651,0.00833,2,2021,-63.796
13.021171808333333,77.57038135277774,844.4374,0.01667,2,2021,-62.875
13.021171605555558,77.57038194166665,844.4937,0.02500,2,2021,-63.208
13.0211728,77.57038417777777,844.3359,0.03333,2,2021,-63.061
13.021172458333336,77.57038431944443,844.165,0.04167,2,2021,-63.048
13.02117268888889,77.57038387222222,844.0304,0.05000,2,2021,-63.356
13.021172583333334,77.57038374166665,843.8944,0.05833,2,2021,-63.211
13.021172366666669,77.57038313333331,843.8103,0.06667,2,2021,-63.171
13.021172180555554,77.57038220277776,843.7743,0.07500,2,2021,-63.090
13.021172169444446,77.57038189444444,843.7462,0.08333,2,2021,-64.850
13.021172047222223,77.5703820388889,843.7583,0.09167,2,2021,-62.409
13.021171800000001,77.57038212500001,843.7623,0.10000,2,2021,-63.785
13.02117176388889,77.57038202222222,843.7564,0.10833,2,2021,-63.775
13.021171658333333,77.57038196388889,843.7808,0.11667,2,2021,-64.340
13.021171655555559,77.57038204999999,843.7865,0.12500,2,2021,-63.888
13.021171486111111,77.57038209444444,843.7724,0.13333,2,2021,-64.191
13.021171436111114,77.57038192222223,843.7526,0.14167,2,2021,-64.123
13.021171419444446,77.57038183888889,843.7393,0.15000,2,2021,-64.196
13.021171372222225,77.57038183888889,843.7402,0.15833,2,2021,-64.503
13.021171413888892,77.57038180277776,843.7481,0.16667,2,2021,-63.626
13.021171375000003,77.57038173055555,843.7526,0.17500,2,2021,-63.772
13.021171411111112,77.57038187777776,843.753,0.18333,2,2021,-63.696
13.0211714,77.57038205555556,843.7526,0.19167,2,2021,-63.864
13.021171336111111,77.57038223333333,843.7479,0.20000,2,2021,-64.520
13.021171358333335,77.57038235277776,843.7301,0.20833,2,2021,-63.585
13.021171341666669,77.57038239444444,843.7168,0.21667,2,2021,-64.223
13.021171330555559,77.57038248888888,843.7094,0.22500,2,2021,-64.473
13.021171338888887,77.57038248611113,843.7122,0.23333,2,2021,-63.701
13.021171322222225,77.57038253055555,843.7167,0.24167,2,2021,-64.331
13.021171308333336,77.57038247499997,843.7185,0.25000,2,2021,-63.303
13.021171302777779,77.57038243333334,843.711,0.25833,2,2021,-64.886
13.021171311111113,77.570382375,843.6976,0.26667,2,2021,-63.963
13.021171311111113,77.57038234444445,843.6827,0.27500,2,2021,-64.641
13.02117130555556,77.57038233055553,843.6728,0.28333,2,2021,-64.192
13.021171291666668,77.5703823611111,843.6729,0.29167,2,2021,-65.228
13.021171300000002,77.57038237777778,843.6784,0.30000,2,2021,-64.993
13.021171302777779,77.57038236666666,843.6814,0.30833,2,2021,-64.459
13.021171280555556,77.57038236944445,843.6813,0.31667,2,2021,-65.096
13.02117126666667,77.57038245833333,843.6753,0.32500,2,2021,-64.557
13.021171250000004,77.57038252777777,843.6652,0.33333,2,2021,-65.505
13.021171225000003,77.57038257777778,843.6584,0.34167,2,2021,-65.682
13.021171230555556,77.57038257777778,843.6478,0.35000,2,2021,-65.175
13.02117123888889,77.57038258611111,843.6394,0.35833,2,2021,-65.226
13.021171211111112,77.5703826083333,843.6396,0.36667,2,2021,-65.683
13.021171186111111,77.57038265,843.6378,0.37500,2,2021,-65.458
13.021171163888889,77.57038266666665,843.6383,0.38333,2,2021,-65.112
13.021171155555557,77.57038269444443,843.6315,0.39167,2,2021,-65.366
13.021171150000002,77.57038268333334,843.6284,0.40000,2,2021,-65.978
13.021171141666668,77.57038263333332,843.6286,0.40833,2,2021,-66.100
13.021171133333336,77.57038260277776,843.6299,0.41667,2,2021,-66.031
13.021171136111112,77.57038258055555,843.633,0.42500,2,2021,-66.821
13.021171136111112,77.57038257222221,843.6372,0.43333,2,2021,-67.141
13.021171133333336,77.57038254999998,843.6382,0.44167,2,2021,-65.831
13.021171133333336,77.57038253333332,843.6365,0.45000,2,2021,-65.641
13.021171127777778,77.57038252222222,843.6361,0.45833,2,2021,-66.126
13.021171125000002,77.57038251388889,843.6346,0.46667,2,2021,-66.032
13.021171108333336,77.57038250833332,843.6321,0.47500,2,2021,-67.027
13.021171100000002,77.5703825111111,843.6273,0.48333,2,2021,-64.828
13.021171086111114,77.57038250277778,843.6289,0.49167,2,2021,-67.059
13.021171033333337,77.57038220833331,843.595,0.49167,2,2021,0.000
13.021171033333337,77.57038220833331,843.595,0.49167,2,2021,0.000
