latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
60.75050992222221,-135.22211554722222,1427.4351,0.00000,3,2021,-51828.742
60.75050993055555,-135.2221155861111,1427.4358,0.00833,3,2021,-51828.815
60.750509916666665,-135.22211554166668,1427.4358,0.01667,3,2021,-51828.979
60.75050993888889,-135.22211555555552,1427.4353,0.02500,3,2021,-51828.958
60.750509883333336,-135.22211556388888,1427.4321,0.03333,3,2021,-51828.902
60.75050990555555,-135.2221155527778,1427.4399,0.04167,3,2021,-51828.991
60.75050988888889,-135.2221155277778,1427.4327,0.05000,3,2021,-51829.041
60.750509894444455,-135.22211556944444,1427.427,0.05833,3,2021,-51829.328
60.750509902777765,-135.2221155277778,1427.4312,0.06667,3,2021,-51829.611
60.75050991388889,-135.22211553055556,1427.4403,0.07500,3,2021,-51829.807
60.75050989999999,-135.222115525,1427.4374,0.08333,3,2021,-51830.126
60.75050991944445,-135.22211553611112,1427.4378,0.09167,3,2021,-51830.511
60.75050993055555,-135.222115525,1427.4389,0.10000,3,2021,-51830.893
60.75050991944445,-135.22211553333332,1427.4352,0.10833,3,2021,-51831.157
60.75050987222223,-135.22211552222223,1427.4317,0.11667,3,2021,-51831.353
60.75050986111111,-135.2221155527778,1427.4206,0.12500,3,2021,-51831.694
60.75050989999999,-135.2221155388889,1427.4334,0.13333,3,2021,-51832.010
60.750509908333335,-135.2221155777778,1427.4368,0.14167,3,2021,-51832.395
60.75050987222223,-135.22211559722223,1427.4288,0.15000,3,2021,-51832.839
60.75050992499999,-135.22211556388888,1427.4363,0.15833,3,2021,-51833.313
60.75050992222221,-135.22211555,1427.4338,0.16667,3,2021,-51833.780
60.750509916666665,-135.22211559166666,1427.431,0.17500,3,2021,-51834.233
60.75050993055555,-135.22211559722223,1427.4354,0.18333,3,2021,-51834.755
60.75050993055555,-135.2221155777778,1427.4376,0.19167,3,2021,-51835.264
60.75050992499999,-135.222115575,1427.4332,0.20000,3,2021,-51835.737
60.75050991111111,-135.2221156027778,1427.429,0.20833,3,2021,-51836.139
60.75050990555555,-135.22211561666666,1427.4286,0.21667,3,2021,-51836.461
60.75050991111111,-135.22211559722223,1427.4312,0.22500,3,2021,-51836.728
60.750509941666664,-135.22211556388888,1427.4401,0.23333,3,2021,-51837.190
60.75050989166667,-135.22211560555556,1427.4307,0.24167,3,2021,-51837.760
60.750509902777765,-135.22211562222222,1427.4272,0.25000,3,2021,-51838.292
60.75050989999999,-135.2221155861111,1427.4323,0.25833,3,2021,-51838.724
60.750509902777765,-135.22211555555552,1427.4329,0.26667,3,2021,-51839.278
60.75050993888889,-135.22211553611112,1427.4403,0.27500,3,2021,-51839.831
60.75050989999999,-135.22211556944444,1427.4327,0.28333,3,2021,-51840.483
60.75050987500001,-135.22211558888893,1427.4311,0.29167,3,2021,-51841.064
60.75050992777777,-135.2221155388889,1427.4422,0.30000,3,2021,-51841.493
60.75050988611111,-135.22211555833337,1427.4425,0.30833,3,2021,-51841.946
60.750509883333336,-135.22211554166668,1427.433,0.31667,3,2021,-51842.440
60.75050986944445,-135.22211553333332,1427.4311,0.32500,3,2021,-51842.771
60.75050987500001,-135.22211550277777,1427.4396,0.33333,3,2021,-51842.933
60.750509880555555,-135.22211548333337,1427.4455,0.34167,3,2021,-51843.127
60.750509908333335,-135.22211548611108,1427.4458,0.35000,3,2021,-51843.255
60.75050984444445,-135.22211556944444,1427.4293,0.35833,3,2021,-51843.539
60.75050987500001,-135.22211557222224,1427.4296,0.36667,3,2021,-51843.861
60.75050989166667,-135.22211558055557,1427.4333,0.37500,3,2021,-51844.008
60.75050987500001,-135.2221156027778,1427.4307,0.38333,3,2021,-51844.248
60.75050988611111,-135.22211563055555,1427.4265,0.39167,3,2021,-51844.538
60.75050987777777,-135.22211562777778,1427.4252,0.40000,3,2021,-51844.859
60.75050992222221,-135.22211561944445,1427.4348,0.40833,3,2021,-51845.041
60.75050992499999,-135.2221156138889,1427.435,0.41667,3,2021,-51845.245
60.75050989999999,-135.2221156027778,1427.4312,0.42500,3,2021,-51845.488
60.75050986111111,-135.22211563333335,1427.4225,0.43333,3,2021,-51845.940
60.75050986944445,-135.22211563333335,1427.4247,0.44167,3,2021,-51846.111
60.75050986666667,-135.22211563055555,1427.4241,0.45000,3,2021,-51846.302
60.75050986111111,-135.2221155861111,1427.4269,0.45833,3,2021,-51846.388
60.75050985833333,-135.2221156,1427.4237,0.46667,3,2021,-51846.465
60.750509836111114,-135.2221156138889,1427.4187,0.47500,3,2021,-51846.724
60.750509850000014,-135.22211560833333,1427.4231,0.48333,3,2021,-51846.838
60.75050984166666,-135.22211558888893,1427.4256,0.49167,3,2021,-51846.889
